Flag,Country,Total Time Spent on Devices,Internet via Mobiles,Internet via Computer,Mobile Internet Speed (Mbps),Fixed Internet Speed (Mbps),Time Spent using Social Media,Time Spent using a game console,Time Spent Listening to Podcasts,Time Spent Listening to Music Streaming services
:ar:,Argentina,09:01,04:55,04:06,22.17,60.25,03:15,01:01,00:39,01:46
:au:,Australia,05:51,02:59,02:52,86.01,53.06,02:04,01:10,01:03,01:39
:at:,Austria ,05:22,02:33,02:49,61.19,67.23,01:34,00:44,00:36,01:08
:be:,Belgium,05:27,02:19,03:08,56.18,86.7,01:34,00:40,00:26,00:53
:br:,Brazil,09:32,05:28,04:04,33.36,97.52,03:46,01:17,01:17,02:11
:ca:,Canada ,06:35,03:04,03:31,82.68,136.87,02:05,01:11,00:56,01:43
:cl:,Chile,08:36,04:46,03:50,25.85,216.46,03:28,01:05,00:49,02:14
:cn:,China,05:25,03:16,02:09,109.4,214.58,01:59,01:12,01:03,01:19
:co:,Colombia,09:01,04:50,04:11,10.82,89.61,03:32,01:10,00:59,01:50
:cz:,Czechia,06:13,02:53,03:20,44.46,52.78,01:53,00:28,00:32,00:49
:dk:,Denmark,04:58,02:14,02:44,113.44,188.35,01:47,00:43,00:48,01:25
:eg:,Egypt,07:41,04:20,03:21,22.17,45.79,02:29,01:34,01:05,01:23
:fr:,France,05:26,02:34,02:52,59.66,150.15,01:55,00:59,00:35,01:16
:de:,Germany,05:12,02:29,02:43,56.18,80.69,01:41,00:51,00:46,01:20
:gr:,Greece ,06:00,02:56,03:04,61.4,42.79,01:55,00:47,00:36,01:06
:hk:,Hong Kong,06:26,03:17,03:09,56.51,194.35,01:52,01:04,00:46,01:14
:in:,India ,06:23,03:55,02:28,18.26,49.09,02:50,01:41,01:34,02:22
:id:,Indonesia,07:42,04:53,02:49,17.27,24.32,03:18,01:15,00:56,01:37
:ie:,Ireland,05:59,03:07,02:52,24.84,77.91,01:56,00:49,00:49,01:29
:il:,Israel,07:08,03:36,03:32,27.18,95.66,02:12,00:52,00:45,01:26
:it:,Italy ,05:55,02:56,02:59,39.25,60.12,01:48,00:48,00:32,01:05
:jp:,Japan,03:45,01:54,01:51,40.92,150.32,00:51,00:26,00:13,00:26
:my:,Malaysia,08:06,04:28,03:38,36.34,91.5,02:47,01:10,00:41,01:30
:mx:,Mexico,08:07,04:32,03:35,24.07,49.91,03:21,01:28,01:08,02:12
:nl:,Netherlands,05:27,02:46,02:41,109.06,120.82,01:39,01:01,00:38,01:23
:nz:,New Zealand,06:12,03:07,03:05,56.64,133.18,02:15,01:02,00:58,01:45
:ph:,Philippines,09:14,05:31,03:43,24.04,81.42,03:43,01:29,00:53,02:05
:pl:,Poland,06:42,03:17,03:25,40.92,95.95,02:02,00:49,00:44,01:25
:pt:,Portugal,07:37,03:41,03:56,62.95,119.06,02:25,00:46,00:40,01:19
:ro:,Romania,07:03,04:08,02:55,41.09,170.25,02:32,00:44,00:47,01:22
:ru:,Russia,07:57,03:40,04:17,21.73,74.92,02:16,00:30,00:23,00:53
:sa:,Saudi Arabia,07:20,04:13,03:07,90.49,88.12,03:01,01:58,01:17,01:35
:sg:,Singapore,06:59,03:16,03:36,72.18,214.23,02:13,00:52,00:51,01:32
:za:,South Africa,09:38,05:13,04:25,36.7,40.12,03:44,01:03,01:01,01:58
:kr:,South Korea,05:21,02:35,02:46,118.76,95.34,01:11,00:32,00:26,00:55
:es:,Spain,05:45,02:53,02:52,36.07,166.78,01:55,00:52,00:40,01:16
:se:,Sweden,06:02,03:01,03:01,85.64,107.83,01:58,00:47,00:55,01:42
:ch:,Switzerland,05:38,02:32,03:06,77.36,144.78,01:43,00:52,00:38,01:25
:tw:,Taiwan ,07:14,04:01,03:13,68.04,124.14,02:06,00:52,00:51,01:26
:th:,Thailand,08:06,05:05,03:01,37.85,205.63,02:44,01:43,01:10,01:49
:tr:,Turkey,07:24,04:26,02:58,31.93,31.86,02:54,01:05,00:49,01:37
:ae:,U.A.E,07:29,04:18,03:11,139.41,186.76,02:50,01:19,01:00,01:29
:gb:,UK,05:47,02:52,02:55,46.02,73.21,01:56,01:10,00:58,01:35
:us:,USA,06:59,03:28,03:31,74.83,189.48,02:16,01:25,01:02,01:59
:vn:,Vietnam,06:23,03:32,02:51,39.59,80.27,02:32,01:19,00:50,01:12
N/A,Worldwide,06:37,03:46,02:51,33.97,74.54,02:31,01:14,01:12,01:38
